Unnamed: 0,open,high,low,close,volume,marketCap,timestamp,crypto_name,vol_year,3_day_MA
0,112.9000015259,118.8000030518,107.1429977417,115.9100036621,0.0,1288693175.5,2013-05-05T23:59:59.999Z,Bitcoin,0.4180697376100929,
2,115.9800033569,124.6630020142,106.6399993896,112.3000030518,0.0,1249023060.0,2013-05-06T23:59:59.999Z,Bitcoin,0.40504901497842005,
4,112.25,113.4440002441,97.6999969482,111.5,0.0,1240593600.0,2013-05-07T23:59:59.999Z,Bitcoin,0.40216352575931597,113.23666890463333
7,109.5999984741,115.7799987793,109.5999984741,113.5660018921,0.0,1264049202.15,2013-05-08T23:59:59.999Z,Bitcoin,0.4096152800656151,112.4553349813
9,113.1999969482,113.4599990845,109.2600021362,112.6699981689,0.0,1254535382.0,2013-05-09T23:59:59.999Z,Bitcoin,0.40638353103946634,112.57866668700001
10,112.7990036011,122.0,111.5510025024,117.1999969482,0.0,1305479080.0,2013-05-10T23:59:59.999Z,Bitcoin,0.42272254701048595,114.47866566973335
12,117.6999969482,118.6790008545,113.0100021362,115.2429962158,0.0,1284207489.42,2013-05-11T23:59:59.999Z,Bitcoin,0.41566394329339584,115.03766377763333
15,115.6399993896,117.4489974976,113.4349975586,115.0,0.0,1281982625.0,2013-05-12T23:59:59.999Z,Bitcoin,0.41478749293561734,115.81433105466665
17,114.8199996948,118.6989974976,114.5,117.9800033569,0.0,1315710010.5,2013-05-13T23:59:59.999Z,Bitcoin,0.4255359113821241,116.0743331909
18,117.9800033569,119.8000030518,110.25,111.5,0.0,1243874487.5,2013-05-14T23:59:59.999Z,Bitcoin,0.40216352575931597,114.82666778563333
20,111.4000015259,115.8099975586,103.5,114.2200012207,0.0,1274623812.5,2013-05-15T23:59:59.999Z,Bitcoin,0.41197415608206356,114.56666819253333
22,114.2200012207,118.7600021362,112.1999969482,118.7600021362,0.0,1325726787.0,2013-05-16T23:59:59.999Z,Bitcoin,0.42834924823567794,114.82666778563333
24,118.2099990845,125.3000030518,116.5709991455,123.0149993896,0.0,1373723881.88,2013-05-17T23:59:59.999Z,Bitcoin,0.44369637556772773,118.6650009155
27,123.5,125.25,122.3000030518,123.4980010986,0.0,1379574545.85,2013-05-18T23:59:59.999Z,Bitcoin,0.4454384892021601,121.75766754146666
29,123.2109985352,124.5,119.5709991455,121.9899978638,0.0,1363204702.75,2013-05-19T23:59:59.999Z,Bitcoin,0.4399993511056254,122.83433278399998
30,122.5,123.6210021973,120.1200027466,122.0,0.0,1363709900.0,2013-05-20T23:59:59.999Z,Bitcoin,0.44003542728822015,122.49599965413331
33,122.0199966431,123.0,121.2099990845,122.8799972534,0.0,1374013440.0,2013-05-21T23:59:59.999Z,Bitcoin,0.44320944341455076,122.2899983724
35,122.8899993896,124.0009994507,122.0,123.888999939,0.0,1385778992.85,2013-05-22T23:59:59.999Z,Bitcoin,0.44684876249564054,122.92299906413332
36,123.8000030518,126.9339981079,123.0999984741,126.6999969482,0.0,1417769832.5,2013-05-23T23:59:59.999Z,Bitcoin,0.4569876007747326,124.48966471353333
39,126.3000030518,133.8500061035,125.71900177,133.1999969482,0.0,1491070770.0,2013-05-24T23:59:59.999Z,Bitcoin,0.4804321112450067,127.92966461179999
41,133.1000061035,133.2189941406,128.8999938965,131.9799957275,0.0,1477958233.0,2013-05-25T23:59:59.999Z,Bitcoin,0.4760317525692454,130.6266632079667
42,131.9859924316,136.0,130.6150054932,133.4799957275,0.0,1495293015.0,2013-05-26T23:59:59.999Z,Bitcoin,0.4814420242162317,132.88666280106668
44,133.5,135.4649963379,124.6999969482,129.7449951172,0.0,1454029509.62,2013-05-27T23:59:59.999Z,Bitcoin,0.4679704456139766,131.73499552406668
46,129.7700042725,130.5800018311,125.5999984741,129.0,0.0,1446189975.0,2013-05-28T23:59:59.999Z,Bitcoin,0.46528336164082296,130.7416636149
48,129.0,132.5899963379,127.6620025635,132.3000030518,0.0,1483734577.5,2013-05-29T23:59:59.999Z,Bitcoin,0.47718597027157084,130.348332723
51,132.25,132.25,127.0,128.7989959717,0.0,1445053940.55,2013-05-30T23:59:59.999Z,Bitcoin,0.46455837071066197,130.03299967450002
52,128.7989959717,129.8999938965,126.4000015259,129.0,0.0,1447870200.0,2013-05-31T23:59:59.999Z,Bitcoin,0.46528336164082296,130.03299967450002
55,128.8150024414,129.7799987793,127.1989974976,129.3000030518,0.0,1451916165.0,2013-06-01T23:59:59.999Z,Bitcoin,0.4663654269775982,129.03299967450002
56,129.3000030518,129.3999938965,115.0500030518,122.2919998169,0.0,1373837499.9,2013-06-02T23:59:59.999Z,Bitcoin,0.4410886261750864,126.86400095623333
59,122.5,122.5,116.0,122.2220001221,0.0,1373708057.9,2013-06-03T23:59:59.999Z,Bitcoin,0.44083614793237025,124.60466766359998
61,120.7369995117,123.8399963379,119.0999984741,121.4199981689,0.0,1365337545.0,2013-06-04T23:59:59.999Z,Bitcoin,0.4379434489802198,121.9779993693
63,121.4000015259,123.46900177,119.8990020752,121.6500015259,0.0,1368486468.75,2013-06-05T23:59:59.999Z,Bitcoin,0.43877303607427903,121.76399993896666
64,121.9000015259,123.0999984741,117.25,118.0,0.0,1327960200.0,2013-06-06T23:59:59.999Z,Bitcoin,0.42560803622959,120.35666656493333
66,118.9700012207,119.0,106.4199981689,111.5,0.0,1255258637.5,2013-06-07T23:59:59.999Z,Bitcoin,0.40216352575931597,117.05000050863333
68,111.0,111.4150009155,107.3000030518,108.3000030518,0.0,1219717920.0,2013-06-08T23:59:59.999Z,Bitcoin,0.39062162391978983,112.60000101726666
71,107.891998291,108.9899978638,88.5,100.0,0.0,1126642500.0,2013-06-09T23:59:59.999Z,Bitcoin,0.36068477646575425,106.60000101726666
73,100.43699646,110.1009979248,95.0019989014,106.3499984741,0.0,1198638945.0,2013-06-10T23:59:59.999Z,Bitcoin,0.38358825426764065,104.88333384196666
75,106.3499984741,109.5999984741,104.0,108.9000015259,0.0,1227874725.0,2013-06-11T23:59:59.999Z,Bitcoin,0.39278572707489534,105.08333333333333
77,109.0,111.7870025635,106.7340011597,108.1500015259,0.0,1219969852.5,2013-06-12T23:59:59.999Z,Bitcoin,0.3900805912514022,107.80000050863333
79,108.7760009766,110.3000030518,100.5299987793,104.0,0.0,1173637400.0,2013-06-13T23:59:59.999Z,Bitcoin,0.3751121675243844,107.01666768393333
